Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
alpha-fetoprotein  ,XP_048702848.1,AFP,70,390.49,441.39,331.75,404.82,426.57,401.67,376.4,404.92,462.67,392.76,363.68,428.1,401.01,414.15,378.62,376.58,371.89,475.83,402.55,390.67,345.26,371.92,411.84,425.51,311.49,422.1,447.78,438.61,438.63,405.63,448.13,399.36,430.17,410.09,401.6,390.64,418.76,403.28,438.78,288.03,493.31,419.18,435.78,393.6,382.27,405.76,425.53,431.17
albumin-like  ,XP_048702847.1,ALB,70,307.77,315.28,253.14,301.09,330.57,303.53,304.13,354.43,308.45,292.87,252.1,322.77,297.19,302.56,268.19,284.3,290.81,343.89,320.3,329.66,342.37,334.73,339.45,309.85,276.68,287.48,330.05,304.68,318.38,335,289.71,291.77,309.09,357.3,311.82,332.58,333.98,305.81,312,232.89,308.32,342.51,323.06,283.99,295.12,303.5,316.58,354.47
Cluster of alpha-2-macroglobulin-like  ,XP_048678464.1 ,A2M,163,240.84,299.96,214.29,300.25,284.56,173.31,302.09,332.89,251.11,289.5,363.81,239.71,295.01,304.56,239.85,301.11,342.04,303.72,315.68,354.03,343.75,311.95,334.63,264.34,269.07,335.36,258.82,281.27,249.15,310.62,252.91,238.94,283.22,284.71,325.08,327.78,300.56,307.9,267.44,446.19,311.4,286.86,296.07,294.2,343.36,298.35,283.99,286.36
apolipoprotein B-100  ,XP_048701560.1,APOB,524,256.17,214.59,220.31,234.63,285.84,369.29,282.05,377.66,259.9,311.3,347.15,199.07,235.11,327.24,358.9,329.97,320,282.59,352.77,262.23,343.33,309.94,316.95,363.97,248.12,268.24,244.52,250.49,350.91,346.46,257.16,359.62,340.59,261.89,321.47,298.14,245.05,295.29,270.4,399.25,269.65,264.85,232.49,282,336.72,275.22,198.37,223.88
fibrinogen alpha chain  ,XP_048703055.1,FGA,86,212.59,219.68,177.11,193.34,260.74,229.67,154.58,50.489,250.38,287.06,284.12,281.21,312.46,302.56,301.71,299.21,272.43,235.84,212.09,38.532,225.67,271.71,237.71,245.12,196.35,217.63,233.45,218.79,238.54,232.88,275.6,238.46,251.01,273.05,244.24,306.01,373.27,275.23,332.8,198.67,338.63,293.73,310.99,303.92,300.07,318.73,326.86,310.94
fibrinogen beta chain  ,XP_048703397.1,FGB,55,173.45,171.88,155.51,196.37,252.02,201.34,149.56,37.362,230.38,278.33,263.46,260.92,281.92,275.74,282.98,282.43,269.19,211.94,214.26,39.602,211.21,254.15,204.45,203.74,170.47,212.57,191.19,175.85,222.77,197.57,266.92,214.22,244.12,256.81,227.83,257.8,338.11,256.11,269.41,198.67,252.92,256.89,275.76,288.97,283.24,281.75,301.16,268.45
Cluster of ovotransferrin-like  ,XP_048720573.1 ,TF,109,201.03,234.93,155.51,238.66,228.01,214.49,202.76,220.13,229.43,232.75,237.63,281.21,270.73,269.3,242.54,197.61,190.27,246.23,220.75,257.95,199.63,214.89,213.26,223.9,197.24,193.34,219.36,192.21,228.68,214.74,197.48,172.54,193.92,295.38,255.83,269.61,257.46,253.25,259.5,211.03,264.42,275.8,235.5,236.16,220.85,205.6,242.57,253.94
Cluster of alpha-2-macroglobulin  ,XP_048678450.1 ,A2M,166,115.65,138.12,96.676,141.59,121.22,94.649,130.32,158.65,133.3,159.3,164.93,136.98,143.43,150.3,137.54,158.22,165.82,164.75,121.32,164.95,157.52,146.52,141.54,120.65,110.07,136.26,142.43,142.78,135.05,137.58,128.86,133.09,142.8,134.29,168.98,162.04,161.39,138.15,135.51,186.37,160.79,166.95,142.51,160.97,171.4,165.89,144.37,158.04
Cluster of alpha-2-macroglobulin-like protein 1  ,XP_048686341.1 ,A2ML1,163,160.51,196.66,160.88,173.67,204.44,187.55,162.06,201.49,160.54,188.66,176.21,196.71,183.67,207.3,168.07,160.76,191.84,181.17,176.08,194.14,175,224.66,200.1,198.04,137.36,165.56,194.93,193.7,178.94,186.69,169.85,162.41,172.62,195.18,187.64,206.02,233.89,205.73,224.22,147.3,203.42,201.59,183.72,177.91,173.68,165.94,203.05,204.75
fibrinogen gamma chain  ,XP_048703082.1,FGG,50,144.99,148.49,138.23,148.03,156.01,156.82,132.49,38.372,180.88,197.84,187.01,192.31,206.61,188.83,188.32,193.88,189.19,146.49,150.41,40.672,168.77,178.73,157.5,172.96,147.26,150.82,156.97,158.47,174.47,169.89,188.8,178.36,184.08,174.59,174.73,192.86,244.02,194,206.02,154,164.09,198.14,200.28,210.25,196.09,205.6,223.04,212.48
venom factor-like  ,XP_048687657.1,C3,186,126.75,130.33,111.3,153.88,135.81,132.76,153.92,157.73,127.4,147.87,145.85,118.04,154.52,136.42,132.61,148.04,159.03,136.27,133.26,138.95,127.13,135.49,134.17,134.16,95.048,154.96,140.02,149.43,141.77,151.59,143.39,140.77,141.25,126.7,141.09,126.76,135.61,144.13,134.53,173.79,130.1,124.61,130.99,133.35,155.31,120.92,132.34,143.48
apolipoprotein A-I  ,XP_048683132.1,APOA1,31,119.19,115.94,100.22,124.87,147.28,127.48,121.45,117.13,138.99,108.62,100.22,120.8,110.94,141.63,144.94,120.24,85.405,108.05,97.39,129.51,115.73,131.21,148.69,131.58,92.821,139.69,161,156.43,177.43,135.53,149.74,149.28,120.09,142.11,154.46,153.5,134.42,155.77,147.58,60.838,135.87,135.41,146.94,140.5,133.7,143.59,97.645,76.699
