"Identified.Proteins","Accession.Number","Alternate.ID","Molecular.Weight","sample","value","group"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X114A",390.49,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X115A",441.39,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X116A",331.75,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X133A",404.82,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X137A",426.57,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X162A",401.67,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X192A",376.4,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X249A",404.92,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X278A",462.67,"OC2_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X114B",392.76,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X115B",363.68,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X116B",428.1,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X133B",401.01,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X137B",414.15,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X162B",378.62,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X192B",376.58,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X249B",371.89,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X278B",475.83,"OC2_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X081A",402.55,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X087A",390.67,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X088A",345.26,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X098A",371.92,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X100A",411.84,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X107A",425.51,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X108A",311.49,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X110A",422.1,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X125A",447.78,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X193A",438.61,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X203A",438.63,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X204A",405.63,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X254A",448.13,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X265A",399.36,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X269A",430.17,"OC4_0"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X081B",410.09,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X087B",401.6,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X088B",390.64,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X098B",418.76,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X100B",403.28,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X107B",438.78,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X108B",288.03,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X110B",493.31,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X125B",419.18,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X193B",435.78,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X203B",393.6,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X204B",382.27,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X254B",405.76,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X265B",425.53,"OC4_1"
"alpha-fetoprotein  ","XP_048702848.1","AFP",70,"X269B",431.17,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X114A",307.77,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X115A",315.28,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X116A",253.14,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X133A",301.09,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X137A",330.57,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X162A",303.53,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X192A",304.13,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X249A",354.43,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X278A",308.45,"OC2_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X114B",292.87,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X115B",252.1,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X116B",322.77,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X133B",297.19,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X137B",302.56,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X162B",268.19,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X192B",284.3,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X249B",290.81,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X278B",343.89,"OC2_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X081A",320.3,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X087A",329.66,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X088A",342.37,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X098A",334.73,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X100A",339.45,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X107A",309.85,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X108A",276.68,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X110A",287.48,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X125A",330.05,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X193A",304.68,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X203A",318.38,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X204A",335,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X254A",289.71,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X265A",291.77,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X269A",309.09,"OC4_0"
"albumin-like  ","XP_048702847.1","ALB",70,"X081B",357.3,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X087B",311.82,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X088B",332.58,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X098B",333.98,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X100B",305.81,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X107B",312,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X108B",232.89,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X110B",308.32,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X125B",342.51,"OC4_1"
"albumin-like  ","XP_048702847.1","ALB",70,"X193B",323.06,"OC4_1"
